0 18
60 32,13
60 32,1
60 32,07
60 32,04
60 32,01
60 31,98
60 31,95
60 31,92
60 31,89
60 31,86
60 31,83
60 31,8
60 31,76
60 31,73
60 31,7
60 31,67
60 31,64
60 31,61
60 31,58
60 31,55
60 31,51
60 31,48
60 31,45
60 31,42
60 31,39
60 31,36
60 31,32
60 31,29
60 31,26
60 31,23
60 31,2
60 31,16
60 31,13
60 31,1
60 31,07
60 31,03
60 31
60 30 97
60 30 94
60 30 9
60 30 87
60 30 84
60 30 8
60 30 77
60 30 74
60 30 71
60 30 67
60 30 64
60 30 61
60 30 57
60 30 54
60 30 51
60 30 47
60 30 44
60 30 41
60 30 37
60 30 34
60 30 3
60 30 27
60 30 24
60 30 2
60 30 17
